name,tag,type,attributes,value,action,proVersion,osVersion
_coreIconButton,CORE-ICON-BUTTON,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreIcon,CORE-ICON,null,"encaps_/PAPER-/,aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreAllayKeys,CORE-ALLY-KEYS,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreStyle,CORE-STYLE,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreTransitionPages,CORE-TRANSITION-PAGES,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreAnimationGroup,CORE-ANIMATION-GROUP,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreAnimation,CORE-ANIMATION,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreAnimationKeyframe,CORE-ANIMATION-KEYFRAME,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreAnimationProp,CORE-ANIMATION-PROP,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreCollapse,CORE-COLLAPSE,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreDragDrop,CORE-DRAG-DROP,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreDrawerPanel,CORE-DRAWER-PANEL,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreDropdownBase,CORE-DROPDOWN-BASE,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreDropdown,CORE-DROPDOWN,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreDropdownMenu,CORE-DROPDOWN-MENU,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreField,CORE-FIELD,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreHeaderPanel,CORE-HEADER-PANEL,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreIconSet,CORE-ICONSET,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreIconSetSvg,CORE-ICONSET-SVG,null,"aria-label,sahiText,id,className,index,icon",sahiText,_click,6.1.0,NA
_coreImage,CORE-IMAGE,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreItem,CORE-ITEM,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreLabel,CORE-LABEL,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreList,CORE-LIST,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreLocalstorage,CORE-LOCALSTORAGE,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreMenu,CORE-MENU,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreSubmenu,CORE-SUBMENU,null,"aria-label,sahiText,id,className,label",sahiText,_click,6.1.0,NA
_coreMenuButton,CORE-MENU-BUTTON,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreOverlay,CORE-OVERLAY,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_corePages,CORE-PAGES,null,"aria-label,sahiText,id,className,index,selected",value,_click,6.1.0,NA
_coreRange,CORE-RANGE,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreScaffold,CORE-SCAFFOLD,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreScrollHeaderPanel,CORE-SCROLL-HEADER-PANEL,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreScrollThreshold,CORE-SCROLL-THRESHOLD,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreSelection,CORE-SELECTION,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
_coreSelector,CORE-SELECTOR,null,"aria-label,sahiText,id,className,index,selected",value,_click,6.1.0,NA
_coreSplitter,CORE-SPLITTER,null,"aria-label,sahiText,id,className,index",sahiText,_click,6.1.0,NA
